thesau_%0;term;term.soort;term.status;use_count;narrower_term;broader_term;related_term;equivalent_term;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89423;Kloosters;onderwerp;descriptor;4166;Augustijnenkloosters#Augustinessenkloosters#Benedictijnerkloosters#Clarissenkloosters#Dominicanenkloosters#Fransiscanenkloosters#jezuïetenkloosters#kanunnikessenkloosters#kapucijnenkloosters#karmelietenkloosters#karmelitessenkloosters#kruisherenkloosters#minderbroederkloosters#trappistenkloosters;religieuze gebouwen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;geschiedenis;onderwerp#materiaalsoort;descriptor;4120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89158;poldermolens;onderwerp;descriptor;4021;boezemmolens#bovenmolens#ondermolens#peilmolens#strijkmolens#wateropvoermolens;molens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22365;Lichtdruk;techniek#onderwerp#objectnaam;descriptor;3944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34280;Muurschilderingen;onderwerp#objectnaam;descriptor;3844;;;Graffiti#Monumentale wandkunst#Secco#fresco#nisschilderingen#ornamentschilderingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35836;nederzettingen;onderwerp#geografisch trefwoord;kandidaat;3593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88990;grondzeilers;onderwerp;descriptor;3366;ronde stenen grondzeilers#twaalfkante grondzeilers#zeskante grondzeilers;windmolens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88463;stadhuizen;onderwerp#geografisch trefwoord;descriptor;3242;;bestuursgebouwen;raadhuizen;gemeentehuizen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21416;Interieurs;onderwerp;descriptor;3169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89936;woonhuizen;onderwerp#geografisch trefwoord;descriptor;3143;HAT-eenheden#aanleunwoningen#achterhuizen#atelierwoningen#atriumwoningen#bejaardenwoningen#benedenwoningen#bovenhuizen#bovenwoningen#bungalows#chalets#cottages#dijkwoningen#doorzonwoningen#drive-in-woningen#duplexwoningen#eengezinshuizen#eengezinswoningen#etagewoningen#fundatiewoningen#galerijwoningen#grachtenhuizen#herenhuizen#hofjeswoningen#hutten#kantoorwoningen#kelderwoningen#koloniehuizen#kolonistenwoningen#koopmanswoningen#meergezinshuizen#middenstandswoningen#modelwoningen#muurhuizen#noodwoningen#onderhuizen#patiowoningen#portiek-etagewoningen#praktijkwoningen#pre-fabwoningen#rentenierswoningen#rijtjeshuizen#rug-aan-rugwoningen#souterrainwoningen#splitlevelwoningen#studentenhuizen#terraswoningen#verandawoningen#vervenerswoningen#villa's#winkelwoningen#woonarken#woonblokken#woonboerderijen#woonkuilen;woningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35469;Congresverslagen;materiaalsoort#onderwerp#bibliografische vorm;descriptor;2985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20838;Glas-in-lood;onderwerp#objectnaam;descriptor;2945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15533;bewoning;onderwerp;descriptor;2943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1940;arbeiderswoning;onderwerp;descriptor;2873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1233;Gevel;geografisch trefwoord#onderwerp;descriptor;2852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88300;boerenerven;onderwerp;descriptor;2791;bijgebouwen#boerderijtypen;agrarische gebouwen#erven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93678;neolithicum;onderwerp;descriptor;2734;laat neolithicum#midden neolithicum#vroeg neolithicum;steentijd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24437;Reproductie;techniek#onderwerp#objectnaam#uitleencategorie;descriptor;2677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34314;opgravingen;onderwerp#onderzoek/gebruik methode;descriptor;2670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1471;gewelfschilderingen;onderwerp#objectnaam;descriptor;2580;;;nisschilderingen#ornamentschilderingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;Engeland;geografisch trefwoord#plaats#land#onderwerp;descriptor;2556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27013;Late middeleeuwen;onderwerp;descriptor;2539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
980;herbestemming;onderwerp;descriptor;2508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54096;Bureauonderzoek;onderwerp#onderzoek/gebruik methode;kandidaat;2496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;monumentenzorg;onderwerp;descriptor;2443;archeologische monumentenzorg#gemeentelijke monumentenzorg#provinciale monumentenzorg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Museum;geografisch trefwoord#onderwerp#doelgroep;descriptor;2427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1096;Kerktoren;onderwerp;descriptor;2402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21228;19e eeuw;onderwerp;descriptor;2400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93689;bronstijd;onderwerp;descriptor;2327;late bronstijd#midden bronstijd#vroege bronstijd;metaaltijden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;Bouwhistorisch onderzoek;onderwerp;descriptor;2289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1397;Dorpsgezicht;onderwerp;descriptor;2289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93712;vroege middeleeuwen;onderwerp;descriptor;2236;vroege middeleeuwen A#vroege middeleeuwen B#vroege middeleeuwen C#vroege middeleeuwen D;middeleeuwen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1173;Venster;onderwerp#objectnaam;descriptor;2227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1140;School;onderwerp;descriptor;2185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16863;verval;onderwerp;descriptor;2160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88434;begraafplaatsen;onderwerp;descriptor;2121;Israëlitische begraafplaatsen#Joodse begraafplaatsen#algemene begraafplaatsen#dierenbegraafplaatsen#erebegraafplaatsen#hervormde begraafplaatsen#katholieke begraafplaatsen#kloosterbegraafplaatsen#particuliere begraafplaatsen;bouwwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93666;prehistorie;onderwerp;descriptor;2120;metaaltijden#steentijd;archeologische perioden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22896;Opmetingsschets;objectnaam#onderwerp;descriptor;2097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71215;Plafondschilderingen;onderwerp#objectnaam;descriptor;2066;;;nisschilderingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28217;Balklaagbeschildering;onderwerp;descriptor;2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
