input.source;input.date;input.name;input.time;narrower_term;priref;related_term;scope_note;see;seen_from;text_for_OPAC;term;term.code;term.number;term.type;use;used_for;edit.notes;edit.source;edit.date;edit.name;edit.time
document>book;19-01-09;monika;16:51:25;;1;;;;;;Boek;;;materiaalsoort;;;;;;;
collect>intern;18-04-09;gebruiker;13:30:53;;2;;;;;;Meeuwenhoek;;;geografisch trefwoord;;;;;;;
collect>intern;18-04-09;gebruiker;13:30:54;;3;;;;;;schaal;;;objectnaam;;;;;;;
collect>intern;18-04-09;gebruiker;13:30:54;;4;;;;;;aardewerk;;;objectcategorie;;;;collect>intern;18-04-09;gebruiker;13:43:33
collect>intern;18-04-09;gebruiker;13:37:57;;5;;;;;;hoogte;;;afmeting;;;;;;;
collect>intern;18-04-09;gebruiker;13:37:57;;6;;;;;;lengte;;;afmeting;;;;;;;
collect>intern;18-04-09;gebruiker;13:37:57;;7;;;;;;breedte;;;afmeting;;;;;;;
collect>intern;18-04-09;gebruiker;13:37:57;;8;;;;;;cm;;;eenheid;;;;;;;
collect>intern;18-04-09;gebruiker;13:37:58;;9;;;;;;bruikleen;;;verwervingsmethode;;;;;;;
collect>intern;18-04-09;gebruiker;13:42:55;;10;;;;;;hout;;;materiaal;;;;;;;
collect>intern;05-02-99;yolande;14:15:33;;11;;;;;;watersnood;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:03
collect>intern;18-04-09;gebruiker;13:42:55;;12;;;;;;bouwfragment;;;objectcategorie;;;;;;;
collect>intern;18-04-09;gebruiker;13:47:04;;13;;;;;;kruiskozijn;;;objectnaam;;;;;;;
collect>intern;29-04-09;gebruiker;21:00:11;;14;;;;;;Lentelstuk;;;objectnaam;;;;;;;
collect>intern;29-04-09;gebruiker;21:25:55;;15;;;;;;ijzer;;;materiaal;;;;;;;
collect>intern;29-04-09;gebruiker;21:25:55;;16;;;;;;hek;;;objectnaam;;;;;;;
collect>intern;29-04-09;gebruiker;21:25:55;;17;;;;;;onbekend;;;verwervingsmethode;;;;collect>intern;15-11-11;gebruiker;15:10:12
collect>intern;29-04-09;gebruiker;21:34:48;;18;;;;;;scheepsmodel;;;objectnaam;;;;;;;
collect>intern;29-04-09;gebruiker;21:34:48;;19;;;;;;model;;;objectcategorie;;;;collect>intern;09-10-11;gebruiker;15:36:23
collect>intern;29-04-09;gebruiker;21:34:48;;20;;;;;;Monnickendam;;;geografisch trefwoord;;;;;;;
;;;;;21;;;;;;fotoalbum;;;objectnaam;;;;;;;
collect>intern;05-02-99;yolande;15:16:48;;22;;;;;;stadsgezicht;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:03
;;;;;23;;;;;;papier;;;materiaal;;;;;;;
;;;;;24;;;;;;karton;;;materiaal;;;;;;;
;;;;;25;;;;;;fotopapier;;;materiaal;;;;;;;
collect>intern;05-02-99;yolande;15:34:02;;26;;;;;;brug;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:04
collect>intern;05-02-99;yolande;15:34:02;;27;;;;;;gracht;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:04
collect>intern;05-02-99;yolande;15:37:53;;28;;;;;;fotograaf;;;beroep;;;;collect>intern;15-11-11;gebruiker;15:10:11
collect>intern;05-02-99;yolande;15:44:45;;29;;;;;;schenker;;;doelgroep;;;;thesau;12-05-09;gebruiker;22:23:05
collect>intern;12-02-99;yolande;09:32:20;;30;;;;;;tuin;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:05
collect>intern;12-02-99;yolande;09:32:20;;31;;;;;;huis;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:05
collect>intern;12-02-99;yolande;10:03:01;;32;;;;;;straat;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:05
collect>intern;12-02-99;yolande;10:20:00;;33;;;;;;kerk;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:06
;;;;;34;;;;;;document;;;objectnaam;;;;;;;
collect>intern;12-02-99;yolande;12:41:28;;35;;;;;;toren;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:06
collect>intern;12-02-99;yolande;12:45:23;;36;;;;;;haven;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:06
collect>intern;12-02-99;yolande;13:01:05;;37;;;;;;Spijkenisse;;;plaats;;;;thesau;12-05-09;gebruiker;22:23:06
collect>intern;12-02-99;yolande;13:01:05;;38;;;;;;Nederland;;;land;;;;thesau;12-05-09;gebruiker;22:23:07
collect>intern;12-02-99;yolande;13:05:17;;39;;;;;;groepsportret;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:07
collect>intern;26-02-99;yolande;10:42:09;;40;;;;;;ijsvermaak;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:07
collect>intern;26-02-99;yolande;10:49:23;;41;;;;;;zwembad;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:07
people;26-02-99;yolande;11:12:32;;42;;;;;;vervaardiger;;;doelgroep;;;;collect>intern;01-07-15;gebruiker;10:13:47
collect>intern;26-02-99;yolande;11:23:11;;43;;;;;;Heerhugowaard;;;plaats;;;;thesau;12-05-09;gebruiker;22:23:08
collect>intern;26-02-99;yolande;12:39:55;;44;;;;;;Purmerend;;;plaats;;;;collect>intern;26-02-14;gebruiker;10:12:37
collect>intern;26-02-99;yolande;12:43:02;;45;;;;;;drukker;;;beroep;;;;collect>intern;25-11-13;gebruiker;16:33:54
collect>intern;26-02-99;yolande;12:53:30;;46;;;;;;liedtekst;;;objectnaam;;;;thesau;12-05-09;gebruiker;22:23:09
collect>intern;26-02-99;yolande;13:27:51;;47;;;;;;bewijs van keuring voor militie;;;objectnaam;;;;thesau;12-05-09;gebruiker;22:23:10
collect>intern;26-02-99;yolande;13:33:34;;48;;;;;;toegangsbewijs;;;objectnaam;;;;thesau;12-05-09;gebruiker;22:23:10
collect>intern;26-02-99;yolande;13:33:34;;49;;;;;;geschreven;;;techniek;;;;thesau;12-05-09;gebruiker;22:23:10
collect>intern;26-02-99;yolande;13:41:57;;50;;;;;;bewijs van inschrijving;;;objectnaam;;;;thesau;12-05-09;gebruiker;22:23:11
collect>intern;26-02-99;yolande;13:49:36;;51;;;;;;bewijs van inenting;;;objectnaam;;;;thesau;12-05-09;gebruiker;22:23:11
;;;;;52;;;;;;aankoop;;;verwervingsmethode;;;;;;;
;;;;;53;;;;;;fotocopie;;;objectnaam;;;;;;;
collect>intern;05-03-99;yolande;12:21:23;;54;;;;;;zeeslag;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:11
;;;;;55;;;;;;A3 foto;;;standplaats;;;;;;;
collect>intern;05-03-99;yolande;13:36:33;;56;;;;;;portret;;;IMAGE;;;;collect>intern;25-08-12;gebruiker;14:19:07
;;;;;57;;;;;;bouwtekening;;;objectnaam;;;;;;;
collect>intern;05-03-99;yolande;13:48:23;;58;;;;;;molen;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:12
collect>intern;05-03-99;yolande;13:48:23;;59;;;;;;landschap;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:12
people;05-03-99;yolande;13:50:25;;60;;;;;;Tilburg;;;plaats;;;;thesau;12-05-09;gebruiker;22:23:12
;;;;;61;;;;;;17e eeuw;;;periode;;;;;;;
collect>intern;05-03-99;yolande;14:41:12;;62;;;;;;plattegrond;;;objectnaam;;;;thesau;12-05-09;gebruiker;22:23:12
collect>intern;05-03-99;yolande;14:41:12;;63;;;;;;waterverf;;;materiaal;;;;thesau;12-05-09;gebruiker;22:23:12
collect>intern;05-03-99;yolande;14:41:12;;64;;;;;;aquarel;;;techniek;;;;collect>intern;15-10-11;gebruiker;18:35:02
collect>intern;05-03-99;yolande;14:41:12;;65;;;;;;pen en inkt;;;techniek;;;;thesau;12-05-09;gebruiker;22:23:13
;;;;;66;;;;;;tekening;;;techniek;;;;;;;
;;;;;67;;;;;;ingekleurd;;;techniek;;;;;;;
collect>intern;12-03-99;yolande;11:33:23;;68;;;;;;scheur;;;toestand;;;;thesau;12-05-09;gebruiker;22:23:13
collect>intern;12-03-99;yolande;11:57:22;;69;;;;;;waag;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:14
collect>intern;12-03-99;yolande;11:57:22;;70;;;;;;beurs;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:14
collect>intern;12-03-99;yolande;11:57:22;;71;;;;;;commercieel gebouw;;;IMAGE;;;;thesau;12-05-09;gebruiker;22:23:14
collect>intern;12-03-99;yolande;12:44:16;;72;;;;;;Leipzig;;;plaats;;;;thesau;12-05-09;gebruiker;22:23:15
collect>intern;12-03-99;yolande;12:44:16;;73;;;;;;slecht;;;toestand;;;;thesau;12-05-09;gebruiker;22:23:15
